Date,City,Max Temperature,Min Temperature,Average Temperature,Rainfall,Humidity,Wind Speed
2022-01-01,Bengaluru,25.9,18.1,20.8,2.3,80,22.1
2022-01-02,Bengaluru,27.0,16.2,20.7,0.0,74,18.8
2022-01-03,Bengaluru,26.9,15.6,20.5,0.0,71,16.6
2022-01-04,Bengaluru,26.5,16.3,20.4,0.0,69,16.2
2022-01-05,Bengaluru,26.4,14.8,20.2,0.0,69,15.9
2022-01-06,Bengaluru,27.0,16.1,20.9,0.0,72,15.5
2022-01-07,Bengaluru,26.3,17.3,21.3,0.1,71,17.2
2022-01-08,Bengaluru,27.0,17.8,21.6,0.0,71,17.3
2022-01-09,Bengaluru,27.0,17.1,21.4,0.0,71,13.7
2022-01-10,Bengaluru,27.0,17.1,21.5,0.2,73,16.2
2022-01-11,Bengaluru,27.9,16.3,21.6,0.1,72,14.3
2022-01-12,Bengaluru,27.1,18.1,21.8,0.2,72,13.0
2022-01-13,Bengaluru,27.4,17.1,21.5,0.0,68,14.7
2022-01-14,Bengaluru,27.3,17.6,21.6,0.0,69,13.0
2022-01-15,Bengaluru,28.2,16.2,21.7,0.0,65,16.6
2022-01-16,Bengaluru,27.0,18.2,21.6,0.5,73,18.2
2022-01-17,Bengaluru,26.8,17.3,21.1,0.2,71,19.5
2022-01-18,Bengaluru,27.3,16.0,21.2,0.0,66,14.7
2022-01-19,Bengaluru,27.1,15.8,20.8,0.0,63,13.6
2022-01-20,Bengaluru,28.2,13.8,20.6,0.0,54,13.0
2022-01-21,Bengaluru,30.2,15.2,22.0,0.0,50,18.0
2022-01-22,Bengaluru,29.2,14.4,21.5,0.0,50,12.5
2022-01-23,Bengaluru,28.5,14.5,21.3,0.0,48,12.9
2022-01-24,Bengaluru,27.5,13.8,20.8,0.0,51,13.2
2022-01-25,Bengaluru,27.6,14.2,20.8,0.0,53,14.2
2022-01-26,Bengaluru,27.4,16.8,21.8,0.0,66,13.0
2022-01-27,Bengaluru,25.2,17.4,21.1,2.3,74,16.6
2022-01-28,Bengaluru,26.6,17.1,21.1,0.0,70,24.0
2022-01-29,Bengaluru,27.9,16.0,21.2,0.0,72,19.3
2022-01-30,Bengaluru,28.2,17.1,22.1,0.2,74,12.5
2022-01-31,Bengaluru,29.7,17.9,23.4,0.0,67,15.5
2022-02-01,Bengaluru,29.5,18.2,23.1,0.0,65,11.6
2022-02-02,Bengaluru,29.9,16.7,22.7,0.0,64,13.7
