_id,Ward No.,Ward Name,Area (sq km),Road length (kms),Ward Area (in sq.km),Total Population,Male Population,Female Population,SC Population,ST Population,Assembly constituency,Parliamentary constituency
1,1,Kempegowda Ward,10.9,86,11.385,39368,20580,18788,3736,1231,150-YELAHANKA,CHIKBALLAPUR
2,2,Chowdeswari Ward,6.5,72,9.6905,47075,25023,22052,5105,1403,150-YELAHANKA,CHIKBALLAPUR
3,3,Atturu,8.8,169,5.158,43071,22453,20618,4396,1132,150-YELAHANKA,CHIKBALLAPUR
4,4,Yelahanka Satellite Town,4.6,86,4.6012,41986,21799,20187,6319,1065,150-YELAHANKA,CHIKBALLAPUR
5,5,Jakkuru,23.5,349,17.1931,40396,21229,19167,4943,778,152-BYATARAYANAPURA,BANGALORE NORTH
6,6,Thanisandra,10.0,235,4.4676,47208,24635,22573,3934,1068,152-BYATARAYANAPURA,BANGALORE NORTH
7,7,Byatarayanapura,10.0,144,12.2311,39205,20659,18546,4750,891,152-BYATARAYANAPURA,BANGALORE NORTH
8,8,Kodigehalli,3.8,84,5.7411,38713,20009,18704,3780,1953,152-BYATARAYANAPURA,BANGALORE NORTH
9,9,Vidyaranyapura,9.9,130,5.3424,39438,21032,18406,2766,896,152-BYATARAYANAPURA,BANGALORE NORTH
10,10,Dodda Bommasandra,4.2,51,2.3989,38620,20262,18358,4085,912,152-BYATARAYANAPURA,BANGALORE NORTH
11,11,Kuvempu Nagar,7.1,95,9.1438,47703,24515,23188,4284,1019,152-BYATARAYANAPURA,BANGALORE NORTH
12,12,Shettihalli,8.1,144,4.8533,42320,23094,19226,3122,510,152-BYATARAYANAPURA,BANGALORE NORTH
13,13,Mallasandra,1.3,40,7.2943,40696,20811,19885,11490,1373,152-BYATARAYANAPURA,BANGALORE NORTH
14,14,Bagalakunte,4.3,123,5.6237,44141,23175,20966,9570,1141,155-DASARAHALLI,BANGALORE NORTH
15,15,T Dasarahalli,0.9,29,4.7061,39635,20822,18813,3862,1039,155-DASARAHALLI,BANGALORE NORTH
16,16,Jalahalli,5.2,36,2.4558,47846,25186,22660,2980,1666,155-DASARAHALLI,BANGALORE NORTH
17,17,J P Park,2.0,52,1.3737,42639,22620,20019,2626,898,155-DASARAHALLI,BANGALORE NORTH
18,18,Radhakrishna Temple Ward,1.9,54,1.2372,42614,23008,19606,2681,824,155-DASARAHALLI,BANGALORE NORTH
19,19,Sanjaya Nagar,1.5,44,7.0163,39314,21005,18309,9747,1141,154-RAJARAJESHWARI NAGAR,BANGALORE RURAL
20,20,Ganga Nagar,2.3,31,1.6406,37855,19400,18455,3960,1217,154-RAJARAJESHWARI NAGAR,BANGALORE RURAL
21,21,Hebbala,1.2,36,2.8676,40404,21200,19204,5165,1607,154-RAJARAJESHWARI NAGAR,BANGALORE RURAL
22,22,Vishwanath Nagenahalli,1.5,51,0.949,46388,23949,22439,4218,652,154-RAJARAJESHWARI NAGAR,BANGALORE RURAL
23,23,Nagavara,2.1,65,0.9888,42806,22101,20705,5052,862,157-MALLESWARAM,BANGALORE NORTH
24,24,HBR Layout,4.6,119,1.9489,35122,18075,17047,3883,741,158-HEBBAL,BANGALORE NORTH
25,25,Horamavu,17.5,341,3.1427,36802,18903,17899,2214,593,158-HEBBAL,BANGALORE NORTH
26,26,Ramamurthy Nagar,7.3,144,1.4664,40625,21090,19535,5620,934,158-HEBBAL,BANGALORE NORTH
27,27,Banasavadi,3.4,101,1.3499,46762,24307,22455,3843,576,158-HEBBAL,BANGALORE NORTH
28,28,Kammanahalli,1.0,43,1.5198,41774,21433,20341,3208,441,160-SARVARGNA NAGAR,BANGALORE CENTRAL
29,29,Kacharkanahalli,1.7,55,3.5253,38783,19912,18871,5465,931,160-SARVARGNA NAGAR,BANGALORE CENTRAL
30,30,Kadugondanahalli,0.7,32,4.1204,37600,19453,18147,4169,465,151-K.R.PURA,BANGALORE NORTH
31,31,Kushal Nagar,0.6,28,16.9608,45384,23729,21655,5526,798,151-K.R.PURA,BANGALORE NORTH
32,32,Kaval Bairasandra,1.6,50,8.3467,45241,23449,21792,6161,1040,151-K.R.PURA,BANGALORE NORTH
33,33,Manorayana Palya,0.8,33,2.7772,42488,21588,20900,5349,833,160-SARVARGNA NAGAR,BANGALORE CENTRAL
34,34,Gangenahalli,1.1,20,0.9898,44874,22652,22222,7291,909,160-SARVARGNA NAGAR,BANGALORE CENTRAL
35,35,Aramane Nagara,7.5,57,2.2441,39609,19801,19808,3570,487,160-SARVARGNA NAGAR,BANGALORE CENTRAL
36,36,Mattikere,0.9,32,1.6879,39441,20070,19371,5378,527,160-SARVARGNA NAGAR,BANGALORE CENTRAL
37,37,Yeshwanthpura,0.8,25,0.6952,45748,23145,22603,5410,1418,160-SARVARGNA NAGAR,BANGALORE CENTRAL
38,38,HMT Ward,5.2,74,0.7675,46439,23588,22851,5192,821,159-PULAKESHI NAGAR (SC),BANGALORE NORTH
39,39,Chokkasandra,3.8,75,2.391,39709,20660,19049,4560,708,159-PULAKESHI NAGAR (SC),BANGALORE NORTH
40,40,Dodda Bidarakallu,12.9,282,0.8547,49335,25462,23873,2025,597,158-HEBBAL,BANGALORE NORTH
41,41,Peenya Industrial Area,5.5,90,0.9791,38747,19809,18938,4516,450,158-HEBBAL,BANGALORE NORTH
42,42,Lakshmi Devi Nagar,1.5,36,7.6139,39212,20571,18641,3878,670,157-MALLESWARAM,BANGALORE NORTH
43,43,Nandini Layout,1.4,49,2.8918,43122,24035,19087,3304,1424,155-DASARAHALLI,BANGALORE NORTH
44,44,Marappana Palya,2.0,52,8.1966,41067,21766,19301,3945,2316,153-YESHVANTHAPURA,BANGALORE NORTH
45,45,Malleshwaram,1.8,34,5.1529,45188,24904,20284,3889,1326,155-DASARAHALLI,BANGALORE NORTH
46,46,Jayachamarajendra Nagar,0.9,29,2.2471,42946,22467,20479,9100,1312,154-RAJARAJESHWARI NAGAR,BANGALORE RURAL
47,47,Devara Jeevanahalli,1.4,28,1.3672,46039,23858,22181,5120,965,156-MAHALAXMI LAYOUT,BANGALORE NORTH
48,48,Muneshwara Nagar,0.5,21,2.0595,45114,23363,21751,7528,736,156-MAHALAXMI LAYOUT,BANGALORE NORTH
49,49,Lingarajapura,0.9,36,2.3925,39647,19975,19672,2754,574,157-MALLESWARAM,BANGALORE NORTH
