Route ID,Agency ID,Route Code,Route Name,Description,Route Type,Route Color,Text Color,Route Description
1,BMTCB,,Jayanagar 4th Block -Yeshwanthpur,,3,0000FF,FFFFFF,1:Jayanagar 4th Block -Yeshwanthpur
1A,BMTCB,,Jayanagar 9th Block -Yeshwanthpur,,3,F53333,FFFFFF,1A :Jayanagar 9th Block -Yeshwanthpur
1E,BMTCB,,J P Nagar 6th Phase -Chowdeshwari Bus Station,,3,F53333,FFFFFF,1E :J P Nagar 6th Phase -Chowdeshwari Bus Station
1F,BMTCB,,K R Market -Kuvempunagar (BTM Layout),,3,F53333,FFFFFF,1F :K R Market -Kuvempunagar (BTM Layout)
2,BMTCB,,Kempegowda Bus Station -J P Nagar 6th Phase,,3,F53333,FFFFFF,2:Kempegowda Bus Station -J P Nagar 6th Phase
2A,BMTCB,,Kempegowda Bus Station -J P Nagar 1st Phase,,3,F53333,FFFFFF,2A :Kempegowda Bus Station -J P Nagar 1st Phase
2B,BMTCB,,Kempegowda Bus Station -Ilyasnagar,,3,F53333,FFFFFF,2B :Kempegowda Bus Station -Ilyasnagar
2F,BMTCB,,J.P.Nagar 6th phase-Majestic-Basaveshwaranagara,,3,F53333,FFFFFF,2F:J.P.Nagar 6th phase-Majestic-Basaveshwaranagara
2LD,BMTCB,,J.P.Nagar 6th Phase- Vidhana soudha,Ladies Special,3,F53333,FFFFFF,2LD:J.P.Nagar 6th Phase- Vidhana soudha
3,BMTCB,,J P Nagar 6th Phase -Girinagar 2nd Stage,,3,F53333,FFFFFF,3:J P Nagar 6th Phase -Girinagar 2nd Stage
3B,BMTCB,,Jayanagar 9th Block -Banashankari 3rd Stage 2nd Phase,,3,F53333,FFFFFF,3B :Jayanagar 9th Block -Banashankari 3rd Stage 2nd Phase
3A,BMTCB,,Jayanagar 9th block-Kathriguppe,,3,F53333,FFFFFF,3A:Jayanagar 9th block-Kathriguppe
3E,BMTCB,,Kuvempunagar (BTM Layout) -Banashankari 3rd Stage 2nd Phase,,3,F53333,FFFFFF,3E :Kuvempunagar (BTM Layout) -Banashankari 3rd Stage 2nd Phase
3F,BMTCB,,J P Nagar 3rd Phase -Banashankari 3rd Stage 2nd Phase,,3,F53333,FFFFFF,3F :J P Nagar 3rd Phase -Banashankari 3rd Stage 2nd Phase
7,BMTCB,,Jayanagar 4th Block -Domlur,,3,F53333,FFFFFF,7:Jayanagar 4th Block -Domlur
7D,BMTCB,,Banashankari -Jeevanabhimanagar,,3,F53333,FFFFFF,7D :Banashankari -Jeevanabhimanagar
7H,BMTCB,,Jayanagar 4th block-Jayanagar 4th block,"Wilson garden,Austin town,koramangla BDA,BTM",3,F53333,FFFFFF,7H:Jayanagar 4th block-Jayanagar 4th block
10A,BMTCB,,K R Market -J P Nagar 3rd Phase,,3,F53333,FFFFFF,10A :K R Market -J P Nagar 3rd Phase
12,BMTCB,,Kempegowda Bus Station -Banashankari,,3,F53333,FFFFFF,12:Kempegowda Bus Station -Banashankari
12A,BMTCB,,Kempegowda Bus Station -Banashankari 2nd Stage,,3,F53333,FFFFFF,12A :Kempegowda Bus Station -Banashankari 2nd Stage
12B,BMTCB,,Kempegowda Bus Station -Padmanabhanagar,,3,F53333,FFFFFF,12B :Kempegowda Bus Station -Padmanabhanagar
12C,BMTCB,,Kempegowda Bus Station -Padmanabhanagar,,3,F53333,FFFFFF,12C :Kempegowda Bus Station -Padmanabhanagar
12D,BMTCB,,Kempegowda Bus Station -Kadirenahalli Park,,3,F53333,FFFFFF,12D :Kempegowda Bus Station -Kadirenahalli Park
12E,BMTCB,,Kempegowda Bus Station -Banashankari,,3,F53333,FFFFFF,12E :Kempegowda Bus Station -Banashankari
7F,BMTCB,,J P Nagar 3rd Phase -Jeevanabhimanagar,,3,F53333,FFFFFF,7F :J P Nagar 3rd Phase -Jeevanabhimanagar
13,BMTCB,,Shivajinagar -Banashankari,,3,F53333,FFFFFF,13:Shivajinagar -Banashankari
13A,BMTCB,,Shivajinagar -Kumaraswamy Layout 2nd Stage,,3,F53333,FFFFFF,13A :Shivajinagar -Kumaraswamy Layout 2nd Stage
13B,BMTCB,,Shivajinagar -Padmanabhanagar,,3,F53333,FFFFFF,13B :Shivajinagar -Padmanabhanagar
13C,BMTCB,,Shivajinagar -Kumaraswamy Layout,,3,F53333,FFFFFF,13C :Shivajinagar -Kumaraswamy Layout
13D,BMTCB,,Shivajinagar -Kadirenahalli Park,,3,F53333,FFFFFF,13D :Shivajinagar -Kadirenahalli Park
13E,BMTCB,,Shivajinagar -Srividyanagar,,3,F53333,FFFFFF,13E :Shivajinagar -Srividyanagar
13F,BMTCB,,Shivajinagar -Chennammanakere Achkattu,,3,F53333,FFFFFF,13F :Shivajinagar -Chennammanakere Achkattu
13G,BMTCB,,Shivajinagar -JHBCS Layout,,3,F53333,FFFFFF,13G :Shivajinagar -JHBCS Layout
13H,BMTCB,,Shivajinagar -Arehalli AGS Layout,,3,F53333,FFFFFF,13H :Shivajinagar -Arehalli AGS Layout
13J,BMTCB,,Shivajinagar -Hosakerehalli,,3,F53333,FFFFFF,13J :Shivajinagar -Hosakerehalli
13K,BMTCB,,Shivajinagar -Minaznagar,,3,F53333,FFFFFF,13K :Shivajinagar -Minaznagar
14,BMTCB,,Banashankari -Malleswaram 18th Cross,,3,F53333,FFFFFF,14:Banashankari -Malleswaram 18th Cross
14A,BMTCB,,Banashankari -Mathikere,,3,F53333,FFFFFF,14A :Banashankari -Mathikere
14B,BMTCB,,Banashankari -Devasandra,,3,F53333,FFFFFF,14B :Banashankari -Devasandra
15,BMTCB,,K R Market -Banashankari 2nd Stage,,3,F53333,FFFFFF,15:K R Market -Banashankari 2nd Stage
15A,BMTCB,,K R Market -Padmanabhanagar,,3,F53333,FFFFFF,15A :K R Market -Padmanabhanagar
15C,BMTCB,,Kempegowda Bus Station -Kumaraswamy Layout,,3,F53333,FFFFFF,15C :Kempegowda Bus Station -Kumaraswamy Layout
15E,BMTCB,,Kempegowda Bus Station -Kumaraswamy Layout,,3,F53333,FFFFFF,15E :Kempegowda Bus Station -Kumaraswamy Layout
15F,BMTCB,,K R Market -Kumaraswamy Layout 2nd Stage,,3,F53333,FFFFFF,15F :K R Market -Kumaraswamy Layout 2nd Stage
15G,BMTCB,,Kempegowda Bus Station -Kumaraswamy Layout 2nd Stage,,3,F53333,FFFFFF,15G :Kempegowda Bus Station -Kumaraswamy Layout 2nd Stage
15H,BMTCB,,Kempegowda Bus Station -JHBCS Layout,,3,F53333,FFFFFF,15H :Kempegowda Bus Station -JHBCS Layout
15K,BMTCB,,Shivajinagar -Ilyasnagar,,3,F53333,FFFFFF,15K :Shivajinagar -Ilyasnagar
15L,BMTCB,,Kempegowda Bus Station -Minaznagar,,3,F53333,FFFFFF,15L :Kempegowda Bus Station -Minaznagar
16,BMTCB,,K R Market -J P Nagar 3rd Phase,,3,F53333,FFFFFF,16:K R Market -J P Nagar 3rd Phase
18,BMTCB,,Kempegowda Bus Station -Jayanagar 9th Block,,3,F53333,FFFFFF,18:Kempegowda Bus Station -Jayanagar 9th Block
18A,BMTCB,,Vidhana soudha-J.P.Nagar 3rd phase,,3,F53333,FFFFFF,18A:Vidhana soudha-J.P.Nagar 3rd phase
20,BMTCB,,Shivajinagar -Jayanagar 9th Block,,3,F53333,FFFFFF,20:Shivajinagar -Jayanagar 9th Block
21,BMTCB,,K R Market -Byrasandra (Jayanagar),,3,F53333,FFFFFF,21:K R Market -Byrasandra (Jayanagar)
22,BMTCB,,Kempegowda Bus Station -Jayanagar LIC Colony,,3,F53333,FFFFFF,22:Kempegowda Bus Station -Jayanagar LIC Colony
22A,BMTCB,,Jayanagar LIC Colony -Shivajinagar,,3,F53333,FFFFFF,22A :Jayanagar LIC Colony -Shivajinagar
23,BMTCB,,J P Nagar 3rd Phase -Yeshwanthpur,,3,F53333,FFFFFF,23:J P Nagar 3rd Phase -Yeshwanthpur
24,BMTCB,,K R Market -Kuvempunagar (BTM Layout),,3,F53333,FFFFFF,24:K R Market -Kuvempunagar (BTM Layout)
24A,BMTCB,,K R Market -Kuvempunagar South (BTM 2nd stage Mahadeshwara nagar,,3,F53333,FFFFFF,24A :K R Market -Kuvempunagar South (BTM 2nd stage Mahadeshwara nagar
24B,BMTCB,,K R Market -Jayanagar LIC Colony,,3,F53333,FFFFFF,24B :K R Market -Jayanagar LIC Colony
24C,BMTCB,,K.R.Market -East end circle,,3,F53333,FFFFFF,24C:K.R.Market -East end circle
24E,BMTCB,,K R Market -J P Nagar 3rd Phase,,3,F53333,FFFFFF,24E :K R Market -J P Nagar 3rd Phase
24F,BMTCB,,K R Market -Old Gurappanapalya,,3,F53333,FFFFFF,24F :K R Market -Old Gurappanapalya
24H,BMTCB,,K R Market -N S Palya (J.P.Nagar shopper's stop),,3,F53333,FFFFFF,24H :K R Market -N S Palya (J.P.Nagar shopper's stop)
25,BMTCB,,City Railway Station- Kuvempu nagar,,3,F53333,FFFFFF,25: City Railway station- Kuvempunagar
25A,BMTCB,,Kempegowda Bus Station -Kuvempunagar (BTM Layout),,3,F53333,FFFFFF,25A :Kempegowda Bus Station -Kuvempunagar (BTM Layout)
25B,BMTCB,,Kempegowda Bus Station -Kuvempunagar South (BTM Layout 2nd stage Mahadeshwara nagar),,3,F53333,FFFFFF,25B :Kempegowda Bus Station -Kuvempunagar South (BTM Layout 2nd stage Mahadeshwara nagar)
25C,BMTCB,,Kempegowda Bus Station -Balajinagar,,3,F53333,FFFFFF,25C :Kempegowda Bus Station -Balajinagar
25D,BMTCB,,Kempegowda Bus Station -Kuvempunagar (BTM Layout),,3,F53333,FFFFFF,25D :Kempegowda Bus Station -Kuvempunagar (BTM Layout)
25E,BMTCB,,Kempegowda Bus Station -J P Nagar 3rd Phase,,3,F53333,FFFFFF,25E :Kempegowda Bus Station -J P Nagar 3rd Phase
25F,BMTCB,,Kempegowda Bus Station -Kuvempunagar EWS Colony (BTM Layout),,3,F53333,FFFFFF,25F :Kempegowda Bus Station -Kuvempunagar EWS Colony (BTM Layout)
25H,BMTCB,,Kempegowda Bus Station -N S Palya,,3,F53333,FFFFFF,25H :Kempegowda Bus Station -N S Palya
25J,BMTCB,,Kempegowda Bus Station -Thavarekere (BTM Layout),,3,F53333,FFFFFF,25J :Kempegowda Bus Station -Thavarekere (BTM Layout)
26,BMTCB,,Kempegowda Bus Station -Byrasandra (Jayanagar),,3,F53333,FFFFFF,26:Kempegowda Bus Station -Byrasandra (Jayanagar)
27,BMTCB,,Shivajinagar -Kuvempunagar South (BTM Layout),,3,F53333,FFFFFF,27:Shivajinagar -Kuvempunagar South (BTM Layout)
