Trip ID,Arrival Time,Departure Time,Stop ID,Stop Name,Stop Sequence
LRYH10620,06:15:00,06:20:00,YPR,YESWANTAPUR STN.,1
LRYH10620,06:25:00,06:26:00,LOGH,LOTTEGOLLAHALLI STN.,2
LRYH10620,06:36:00,06:37:00,HEB,HEBBAL STN.,3
LRYH10620,06:52:00,06:54:00,BAND,BANASWADI STN.,4
LRYH10620,07:08:00,07:09:00,BLRR,BELLANDUR RD STN.,5
LRYH10620,07:15:00,07:16:00,CRLM,KARMELARAM STN.,6
LRYH10620,07:26:00,07:27:00,HLE,HEELALIGE STN.,7
LRYH10620,07:39:00,07:40:00,AEK,ANEKAL ROAD STN.,8
LR5720715,07:10:00,07:15:00,SBC,BANGALORE CITY STN.,1
LR5720715,07:25:00,07:27:00,BNC,CANTONMENT STN.,2
LR5720715,07:32:00,07:34:00,BNCE,BANGALORE EAST STN.,3
LR5720715,07:40:00,07:42:00,BYPL,BYAPPANAHALLI STN.,4
LR5720715,07:49:00,07:51:00,BLRR,BELLANDUR RD STN.,5
LR5720715,07:53:00,07:55:00,CRLM,KARMELARAM STN.,6
LR5720715,08:03:00,08:05:00,HLE,HEELALIGE STN.,7
LR5720715,08:15:00,08:17:00,AEK,ANEKAL ROAD STN.,8
LRYH21535,15:30:00,15:35:00,YPR,YESWANTAPUR STN.,1
LRYH21535,15:40:00,15:41:00,LOGH,LOTTEGOLLAHALLI STN.,2
LRYH21535,15:51:00,15:52:00,HEB,HEBBAL STN.,3
LRYH21535,16:07:00,16:08:00,BAND,BANASWADI STN.,4
LRYH21535,16:20:00,16:21:00,BLRR,BELLANDUR RD STN.,5
LRYH21535,16:27:00,16:28:00,CRLM,KARMELARAM STN.,6
LRYH21535,16:37:00,16:38:00,HLE,HEELALIGE STN.,7
LRYH21535,16:47:00,16:48:00,AEK,ANEKAL ROAD STN.,8
LR5741605,16:00:00,16:05:00,YPR,YESWANTAPUR STN.,1
LR5741605,16:09:00,16:11:00,LOGH,LOTTEGOLLAHALLI STN.,2
LR5741605,16:18:00,16:20:00,HEB,HEBBAL STN.,3
LR5741605,16:33:00,16:35:00,BAND,BANASWADI STN.,4
LR5741605,16:53:00,16:55:00,BLRR,BELLANDUR RD STN.,6
LR5741605,16:58:00,17:00:00,CRLM,KARMELARAM STN.,7
