Stop Name,Stop ID,Description,Latitude,Longitude,Zone
A Narayanapura,1,,12.99485655,77.67754555,
Abbigere,2,,13.07768078,77.53004551,
Abhiman Studio,3,,13.06603857,77.642591,
Adakamaranahalli,4,,13.07074,77.44572,
Adda Vishwanathapura,5,,13.27236045,77.64896393,
ADEGTRE,6,,12.98025,77.65521,
Adigara Kallahalli,7,,13.089659,77.780322,
Adigondanahalli,8,,12.81207,77.75039,
Adosonnahatti,9,,12.77001,77.69497,
Adugodi,10,,12.94374134,77.60809779,
Adugodi Police Quarters,11,,12.93916147,77.61021137,
Adur,12,,13.0556,77.70566,
AECS Dental College,13,,12.86586172,77.6009202,
AECS Layout (Hosur Road),14,,12.88401871,77.64239788,
AECS Layout (Kundalahalli),15,,12.96487246,77.71273613,
AECS Layout Cross (Hosur Road),16,,12.88410238,77.64252663,
Agalahalli,18,,12.89222,77.37568,
Agara (Kanakapura Road),19,,12.811187,77.492393,
Agara (Sarjapur Road),20,,12.92455343,77.65123844,
Agara BMTC Depot,21,,12.92454297,77.65058398,
Agara Gate (Kanakapura Road),22,,12.84877,77.52181,
Agrahara Layout,23,,12.97967678,77.54017353,
Ajanta Talkies,24,,12.98268772,77.6147604,
Akshayanagar,26,,12.87284855,77.61686325,
Alambadi,27,,12.850219,77.782077,
Alappanahalli,28,,13.101982,77.777871,
Allalasandra,29,,13.08344943,77.58467674,
Allammanapalya,30,,12.919552,77.365382,
Alli Bommasandra,31,,12.83254,77.73453,
Alur,32,,13.075868,77.458581,
Amarajyothinagar,33,,12.97286021,77.52965927,
Ambedkar Engineering College,34,,12.96595982,77.50528336,
Ambedkar Medical College,35,,13.02088583,77.61527538,
Ambedkar Vidya Mandira,36,,13.26841,77.55273,
Ambedkarnagar (Sarjapur Road),37,,12.89895,77.71385,
AMC College (Bannerghatta),38,,12.82812108,77.58965492,
Amrita College,39,,12.94812245,77.70447493,
Amruthanagar,40,,12.88493908,77.56669521,
Anagalipura,41,,12.89634,77.71992,
Anand Rao Circle,42,,12.979904,77.572038,
Anandanagar,43,,13.03328275,77.59085655,
Ananthanagar,44,,12.83448132,77.69700766,
Ananthapura,45,,13.11461035,77.56813288,
Anchepalya (Mysore Road),46,,12.87843,77.44529,
Anchepalya (Tumkur Road),47,,13.0536851,77.48112202,
Anchipura,48,,12.87281,77.55822,
Andarahalli,49,,12.9972,77.65368,
Andhrahalli,50,,13.00752657,77.50077724,
Anekal,51,,12.70827177,77.7000761,
Anjananagar,52,,12.97932132,77.4762404,
Anjanapura,53,,12.68472216,77.27263927,
Annapurneshwarinagar,54,,12.96215406,77.49854565,
Annasandrapalya,55,,12.96457971,77.67485261,
Anugondanahalli,58,,12.95927,77.81511,
Anugondanahalli Cross,59,,12.97602,77.82036,
Arabic College,60,,13.03084,77.62137,
Aralimaradapalya,61,,12.949903,77.357555,
Arasanahalli,62,,12.90928571,77.53669739,
Arehalli (Uttarahalli),63,,12.911848,77.535276,
Arehalli (Whitefield),64,,12.93629,77.82921,
Arehalli AGS Layout,65,,12.90855,77.53841,
Arehalli Gate (Uttarahalli),66,,12.90836543,77.53854275,
Arekere,67,,12.88963498,77.60357022,
Arekere Gate,68,,12.89039845,77.59830236,
Arisinakunte,70,,13.07901845,77.42507458,
Art of Living Ashram,71,,12.82021241,77.5121069,
Ashoka Pillar,72,,12.94011823,77.57743478,
Ashwathnagar (Ganganagar),73,,13.02358269,77.57270336,
Ashwathnagar (Marathahalli),74,,12.95947745,77.70080566,
Ashwathnagar Telecom Layout (Nagavara),75,,13.04449,77.62643,
Attibele,76,,12.7717925,77.7862072,
Attibele Border,77,,12.96035572,77.52987385,
Attiguppe,78,,12.96038,77.53314,
Attivata,79,,13.10794379,77.56545067,
Attur,80,,12.92394692,77.58718729,
Aurobindo Circle (J P Nagar),81,,12.9233195,77.58624315,
Austin Town,82,,12.96159992,77.61351585,
Avalahalli BDA Layout (Kothanur),83,,12.87385263,77.56377697,
