Route ID,Service ID,Trip ID,Trip Headsign,Direction
LRYH1,FULLW,LRYH10620,YH1- Yeshwantpur->Hosur,0
LR572,FULLW,LR5720715,572SW(SR) - Bangalore Salem Passenger,0
LRYH2,FULLW,LRYH21535,YH2 - Yeshwantpur ->Hosur,0
LR574,FULLW,LR5741605,574SW(SR)- Yeshwantpur Salem Passenger,0
LRHY1,FULLW,LRHY10810,HY1-Hosur->Yeshwantpur,0
LR573,FULLW,LR5730844,573SR -Salem Yesvantpur Passenger,0
LRHY2,FULLW,LRHY21759,HY2-Hosur->Yeshwantpur,0
LRYD1,FULLW,LRYD11040,YD1->Yeswantpur Devanahalli Special,0
LR102,FULLW,LR1020920,102SW->Bangalore Arakkonam Passenger,0
LR526,FULLW,LR5260700,526SW->Bangarapet Marikuppam Passenger,0
LR433,FULLW,LR4330800,433SW->Guntur Passenger,0
LR101,FULLW,LR1011748,101SR->Arakkonam Bangalore Passenger,0
LR434,FULLW,LR4341524,434SC->Guntur Passenger,0
LR551,FULLW,LR5510840,551SW->Bangalore Chik Ballapur Passenger,0
LR571,FULLW,LR5711710,571SR->Salem Bangalore Passenger,0
LR6521,FULLW,LR65212228,6521-> Bangarpet- Bangalore Express,0
LR2610,FULLW,LR26100800,2610 Bangalore-Chennai Express,0
LR2609,FULLW,LR26091902,2609 Chennai-Bangalore Express,0
LR2677,FULLW,LR26770615,2677 Bangalore- Ernakulam,0
LR2678,FULLW,LR26781848,2678 Ernakulam- Bangalore,0
LR6222,FULLW,LR622220450,62222->Kaveri Express,0
LR6216,FULLW,LR62161815,6216->Chamundi Express,0
LR6731,FULLW,LR67310700,6731->Mysore Express,0
LR7304,FULLW,LR73041200,7304->Yesvantpur Mysore Express,0
LR214,FULLW,LR2140730,214->Tirupati Chamarajanagar,
LR230,FULLW,LR2300525,230->Bangalore Mysore Passenger,0
LR238,FULLW,LR2381900,238->Bangalore Mysore Passenger,0
LR232,FULLW,LR2320930,232->Bangalore Mysore Passenger,0
LR234,FULLW,LR2341625,234->Bangalore Mysore Passenger,0
LR236,FULLW,LR2362355,236->Mysore Passenger,0
LR6232,FULLW,LR62321800,6232 Mysore Mayiladuthurai,0
LR6527,FULLW,LR65272000,6527 Yeshvantapur- Kannur,0
BIAS1,FULLW,BIAS10600,Gottigere - BIAL,0
BIAS4,FULLW,BIAS40600,HAL Main Gate - BIAL,0
BIAS4,FULLW,BIAS406001,HAL Main Gate - BIAL,1
BIAS4,FULLW,BIAS40930,HAL Main Gate - BIAL,0
BIAS5,FULLW,BIAS50515,J.P.Nagara 6th Phase - BIAL,0
BIAS6,FULLW,BIAS60820,Kadugodi Bus Station - BIAL,0
BIAS7,FULLW,BIAS70610,H.S.R. Layout (BDA Complex)  - BIAL,0
BIAS7A,FULLW,BIAS7A0830,H.S.R. Layout (BDA Complex)  - BIAL,0
BIAS8,FULLW,BIAS80400,Electronic City - BIAL,0
BIAS8A,FULLW,BIAS8A0630,Kuvempu Nagar (BTM Layout) - BIAL,0
BIAS9,FULLW,BIAS90600,Majestic/ KBS - BIAL,0
BIAS10,FULLW,BIAS100645,MCTC Bus Station - BIAL,0
BIAS11,FULLW,BIAS110330,Chikkalasandra Bus Stand - BIAL,0
BIAS12,FULLW,BIAS120430,Kuvempu Nagara (BTM Layout) - BIAL,0
LR7209,FULLW,LR72091320,Bangalore- Kakinada,0
LR2640,FULLW,LR26401430,Bangalore- Chennai,0
LR2786,FULLW,LR27861820,Bangalore-Kacheguda,0
LR530,FULLW,LR5300950,Bangalore-Bangarpet,0
LR6519,FULLW,LR65190655,Jolarpettai- Bangalore,0
V2,FULLW,V20815,Kempegowda Bus Station-J P Nagar 6th Phase,0
V2K,FULLW,V2K0000,Kempegowda Bus Station-J P Nagar Kalyani Magnum,0
VJ10,FULLW,VJ100000,Kempegowda Bus Station -Avalahalli BDA Park,0
V25A,FULLW,V25A0000,Kuvempunagar (BTM Layout) -Kempegowda bus station,0
V45G,FULLW,V45G0825,Kempegowda Bus Station -Banashankari 3rd Stage 3rd Phase,0
V195,FULLW,V1950750,Shivajinagar -Chandra Layout,0
V201G,FULLW,V201G0600,Banashankari -Jeevanabhimanagar,0
V201R,FULLW,V201R0600,Srinagar -C V Raman Nagar,0
V258C,FULLW,V258C0805,Kempegowda Bus Station -Nelamangala,0
V276,FULLW,V2760730,Kempegowda Bus Station -Vidyaranyapura,0
V276G,FULLW,V276G0800,Vidyaranyapura -Electronic City,0
V225CA,FULLW,V225CA0000,Kempegowda Bus Station -BGS Health City,0
V250I,FULLW,V250I0805,Kempegowda Bus Station -Chikkabanavara,0
V287,FULLW,V2870000,Kempegowda Bus station- Hebbala,0
